Validator,PT_VERSION,2.3.0
Validator,ROCM_VERSION,6.0.0.0-91-08e5094
Validator,HIPBLASLT_VERSION,0.6.0-592518e7
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.0.0-88df9726-dirty
GemmTunableOp_Half_TN,tn_8192_176_2048,Gemm_Hipblaslt_TN_21949,0.0299182
GemmTunableOp_Half_TN,tn_28672_224_8192,Gemm_Hipblaslt_TN_21971,0.260637
GemmTunableOp_Half_TN,tn_10240_32768_8192,Gemm_Hipblaslt_TN_21883,9.10508
GemmTunableOp_Half_TN,tn_8192_80_7168,Gemm_Hipblaslt_TN_22255,0.048782
GemmTunableOp_Half_TN,tn_8192_96_14336,Gemm_Hipblaslt_TN_21660,0.0727873
GemmTunableOp_Half_TN,tn_57344_128_8192,Gemm_Hipblaslt_TN_21797,0.334661
GemmTunableOp_Half_TN,tn_57344_176_8192,Gemm_Hipblaslt_TN_21814,0.404824
GemmTunableOp_Half_TN,tn_8192_136_14336,Gemm_Hipblaslt_TN_22162,0.0948922
GemmTunableOp_Half_TN,tn_8192_112_28672,Gemm_Hipblaslt_TN_22162,0.1779
GemmTunableOp_Half_TN,tn_10240_176_8192,Gemm_Hipblaslt_TN_22177,0.0828682
GemmTunableOp_Half_TN,tn_5120_256_8192,Gemm_Hipblaslt_TN_21901,0.0664271
GemmTunableOp_Half_TN,tn_8192_224_8192,Gemm_Hipblaslt_TN_22197,0.0782634
GemmTunableOp_Half_TN,tn_10240_168_8192,Gemm_Hipblaslt_TN_21851,0.0837562
GemmTunableOp_Half_TN,tn_2560_32_8192,Gemm_Hipblaslt_TN_21531,0.0196814
GemmTunableOp_Half_TN,tn_28672_128_8192,Gemm_Hipblaslt_TN_21921,0.194514
GemmTunableOp_Half_TN,tn_8192_4_8192,Gemm_Hipblaslt_TN_22379,0.0355725
GemmTunableOp_Half_TN,tn_8192_88_7168,Gemm_Hipblaslt_TN_21667,0.0498284
GemmTunableOp_Half_TN,tn_28672_56_8192,Gemm_Hipblaslt_TN_12683,0.157918
GemmTunableOp_Half_TN,tn_14336_120_8192,Gemm_Hipblaslt_TN_21781,0.100106
GemmTunableOp_Half_TN,tn_8192_168_8192,Gemm_Hipblaslt_TN_21996,0.0707578
GemmTunableOp_Half_TN,tn_57344_96_8192,Gemm_Hipblaslt_TN_21663,0.272202
GemmTunableOp_Half_TN,tn_5120_32_8192,Gemm_Hipblaslt_TN_21530,0.0303094
GemmTunableOp_Half_TN,tn_8192_160_8192,Gemm_Hipblaslt_TN_21967,0.0611671
GemmTunableOp_Half_TN,tn_28672_104_8192,Gemm_Hipblaslt_TN_21780,0.192675
GemmTunableOp_Half_TN,tn_14336_216_8192,Gemm_Hipblaslt_TN_21954,0.129381
GemmTunableOp_Half_TN,tn_8192_144_14336,Gemm_Hipblaslt_TN_21799,0.0968448
GemmTunableOp_Half_TN,tn_10240_104_8192,Gemm_Hipblaslt_TN_22223,0.0682122
GemmTunableOp_Half_TN,tn_10240_16384_8192,Gemm_Hipblaslt_TN_21908,5.28384
GemmTunableOp_Half_TN,tn_57344_56_8192,Gemm_Hipblaslt_TN_22021,0.268846
GemmTunableOp_Half_TN,tn_57344_168_8192,Gemm_Hipblaslt_TN_21814,0.401707
GemmTunableOp_Half_TN,tn_8192_232_8192,Gemm_Hipblaslt_TN_22106,0.0935757
GemmTunableOp_Half_TN,tn_5120_152_8192,Gemm_Hipblaslt_TN_22058,0.0484906
GemmTunableOp_Half_TN,tn_8192_80_8192,Gemm_Hipblaslt_TN_22255,0.0502828
GemmTunableOp_Half_TN,tn_8192_64_8192,Gemm_Hipblaslt_TN_22246,0.0473388
GemmTunableOp_Half_TN,tn_8192_240_8192,Gemm_Hipblaslt_TN_21726,0.0970876
GemmTunableOp_Half_TN,tn_8192_128_28672,Gemm_Hipblaslt_TN_22162,0.180273
GemmTunableOp_Half_TN,tn_8192_176_28672,Gemm_Hipblaslt_TN_21815,0.211677
